FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA
26FEB2021:00:00:00,41 a 50,F,AstraZeneca,Público,16,0,
26FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,225,77,
26FEB2021:00:00:00,41 a 50,F,Sputnik,Público,321,273,
26FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,20,23,
26FEB2021:00:00:00,41 a 50,M,AstraZeneca,Público,8,0,
26FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,86,38,
26FEB2021:00:00:00,41 a 50,M,Sputnik,Público,132,89,
26FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,13,13,
26FEB2021:00:00:00,51 a 60,F,AstraZeneca,Privado,1,0,
26FEB2021:00:00:00,51 a 60,F,AstraZeneca,Público,7,0,
26FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,116,59,
26FEB2021:00:00:00,51 a 60,F,Sputnik,Público,304,293,
26FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,36,36,
26FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,5,0,
26FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,74,23,
26FEB2021:00:00:00,51 a 60,M,Sputnik,Público,130,133,
26FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,8,23,
26FEB2021:00:00:00,61 a 70,F,AstraZeneca,Público,21,0,
26FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,44,10,
26FEB2021:00:00:00,61 a 70,F,Sputnik,Público,147,251,
26FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,10,21,
26FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,16,0,
26FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,33,10,
26FEB2021:00:00:00,61 a 70,M,Sputnik,Público,113,165,
26FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,16,
26FEB2021:00:00:00,71 a 80,F,AstraZeneca,Privado,43,0,
26FEB2021:00:00:00,71 a 80,F,AstraZeneca,Público,415,0,
26FEB2021:00:00:00,71 a 80,F,Sputnik,Privado,1,1,
26FEB2021:00:00:00,71 a 80,F,Sputnik,Público,35,41,
26FEB2021:00:00:00,71 a 80,M,AstraZeneca,Privado,31,0,
26FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,245,0,
26FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,5,5,
26FEB2021:00:00:00,71 a 80,M,Sputnik,Público,27,43,
26FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,0,4,
26FEB2021:00:00:00,81 a 90,F,AstraZeneca,Privado,278,0,
26FEB2021:00:00:00,81 a 90,F,AstraZeneca,Público,2524,0,
26FEB2021:00:00:00,81 a 90,F,Sputnik,Público,1,3,
26FEB2021:00:00:00,81 a 90,M,AstraZeneca,Privado,168,0,
26FEB2021:00:00:00,81 a 90,M,AstraZeneca,Público,1267,0,
26FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,3,0,
26FEB2021:00:00:00,81 a 90,M,Sputnik,Público,7,4,
26FEB2021:00:00:00,91 o mas,F,AstraZeneca,Privado,47,0,
26FEB2021:00:00:00,91 o mas,F,AstraZeneca,Público,518,0,
26FEB2021:00:00:00,91 o mas,M,AstraZeneca,Privado,24,0,
26FEB2021:00:00:00,91 o mas,M,AstraZeneca,Público,166,0,
27FEB2021:00:00:00,30 o menos,F,AstraZeneca,Privado,5,0,
27FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,13,4,
27FEB2021:00:00:00,30 o menos,F,Sputnik,Público,42,7,
27FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,2,1,
27FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,2,1,
27FEB2021:00:00:00,30 o menos,M,Sputnik,Público,33,2,
27FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,
27FEB2021:00:00:00,31 a 40,F,AstraZeneca,Privado,5,0,
27FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,21,7,
27FEB2021:00:00:00,31 a 40,F,Sputnik,Público,76,14,
27FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,1,3,
27FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,21,2,
27FEB2021:00:00:00,31 a 40,M,Sputnik,Público,69,6,
27FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,1,
27FEB2021:00:00:00,41 a 50,F,AstraZeneca,Privado,3,0,
27FEB2021:00:00:00,41 a 50,F,AstraZeneca,Público,1,0,
27FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,27,1,
27FEB2021:00:00:00,41 a 50,F,Sputnik,Público,74,13,
27FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,1,2,
27FEB2021:00:00:00,41 a 50,M,AstraZeneca,Privado,1,0,
27FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,8,0,
27FEB2021:00:00:00,41 a 50,M,Sputnik,Público,69,9,
27FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,1,
27FEB2021:00:00:00,51 a 60,F,AstraZeneca,Privado,1,0,
27FEB2021:00:00:00,51 a 60,F,AstraZeneca,Público,2,0,
27FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,12,2,
27FEB2021:00:00:00,51 a 60,F,Sputnik,Público,70,18,
27FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,2,
27FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,3,0,
27FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,4,1,
27FEB2021:00:00:00,51 a 60,M,Sputnik,Público,47,4,
27FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,
27FEB2021:00:00:00,61 a 70,F,AstraZeneca,Público,9,0,
27FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,5,0,
27FEB2021:00:00:00,61 a 70,F,Sputnik,Público,78,10,
27FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,12,0,
27FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,
27FEB2021:00:00:00,61 a 70,M,Sputnik,Público,38,5,
27FEB2021:00:00:00,71 a 80,F,AstraZeneca,Privado,40,0,
27FEB2021:00:00:00,71 a 80,F,AstraZeneca,Público,50,0,
27FEB2021:00:00:00,71 a 80,F,Sinopharm,Público,1,0,
27FEB2021:00:00:00,71 a 80,F,Sputnik,Privado,1,0,
27FEB2021:00:00:00,71 a 80,F,Sputnik,Público,34,0,
27FEB2021:00:00:00,71 a 80,M,AstraZeneca,Privado,22,0,
27FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,20,0,
27FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,2,0,
27FEB2021:00:00:00,71 a 80,M,Sputnik,Público,21,0,
19FEB2021:00:00:00,30 o menos,M,Sputnik,Público,104,6,
19FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,16,2,
19FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,424,8,
19FEB2021:00:00:00,31 a 40,F,Sputnik,Público,560,31,
19FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,83,9,
19FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,181,3,
19FEB2021:00:00:00,31 a 40,M,Sputnik,Público,200,17,
19FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,45,3,
19FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,285,2,
19FEB2021:00:00:00,41 a 50,F,Sputnik,Público,610,34,
19FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,52,1,
19FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,161,4,
19FEB2021:00:00:00,41 a 50,M,Sputnik,Público,213,12,
19FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,37,0,
19FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,164,4,
19FEB2021:00:00:00,51 a 60,F,Sputnik,Público,509,15,
19FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,41,2,
19FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,87,1,
19FEB2021:00:00:00,51 a 60,M,Sputnik,Público,184,12,
19FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,23,2,
19FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,43,0,
19FEB2021:00:00:00,61 a 70,F,Sputnik,Público,276,0,
19FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,15,0,
19FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,48,0,
19FEB2021:00:00:00,61 a 70,M,Sputnik,Público,142,1,
19FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,19,0,
19FEB2021:00:00:00,71 a 80,F,Sputnik,Privado,4,0,
19FEB2021:00:00:00,71 a 80,F,Sputnik,Público,99,0,
19FEB2021:00:00:00,71 a 80,F,Sputnik,Público nacional,1,0,
19FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,11,0,
19FEB2021:00:00:00,71 a 80,M,Sputnik,Público,51,0,
19FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,3,0,
19FEB2021:00:00:00,81 a 90,F,Sputnik,Público,9,0,
19FEB2021:00:00:00,81 a 90,F,Sputnik,Público nacional,1,0,
19FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,2,0,
19FEB2021:00:00:00,81 a 90,M,Sputnik,Público,10,0,
19FEB2021:00:00:00,91 o mas,M,Sputnik,Privado,1,0,
19FEB2021:00:00:00,91 o mas,M,Sputnik,Público,1,0,
19FEB2021:00:00:00,91 o mas,M,Sputnik,Público nacional,1,0,
20FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,49,0,
20FEB2021:00:00:00,30 o menos,F,Sputnik,Público,31,3,
20FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,21,0,
20FEB2021:00:00:00,30 o menos,M,Sputnik,Público,23,1,
20FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,134,0,
20FEB2021:00:00:00,31 a 40,F,Sputnik,Público,126,6,
20FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,6,0,
