nombre_partido,id_partido,año,materia,respondientes,resultado,porcentaje
25 DE MAYO,109,2016,lengua,427,avanzado,"8,20"
25 DE MAYO,109,2016,lengua,427,básico,"21,78"
25 DE MAYO,109,2016,lengua,427,por debajo del nivel básico,"18,97"
25 DE MAYO,109,2016,lengua,427,satisfactorio,"51,05"
9 DE JULIO,77,2016,lengua,919,avanzado,"12,19"
9 DE JULIO,77,2016,lengua,919,básico,"23,50"
9 DE JULIO,77,2016,lengua,919,por debajo del nivel básico,"22,63"
9 DE JULIO,77,2016,lengua,919,satisfactorio,"41,68"
ADOLFO ALSINA,1,2016,lengua,266,avanzado,"2,63"
ADOLFO ALSINA,1,2016,lengua,266,básico,"22,93"
ADOLFO ALSINA,1,2016,lengua,266,por debajo del nivel básico,"42,48"
ADOLFO ALSINA,1,2016,lengua,266,satisfactorio,"31,95"
ADOLFO GONZALES CHAVES,51,2016,lengua,186,avanzado,"5,38"
ADOLFO GONZALES CHAVES,51,2016,lengua,186,básico,"26,88"
ADOLFO GONZALES CHAVES,51,2016,lengua,186,por debajo del nivel básico,"26,88"
ADOLFO GONZALES CHAVES,51,2016,lengua,186,satisfactorio,"40,86"
ALBERTI,2,2016,lengua,102,avanzado,"1,96"
ALBERTI,2,2016,lengua,102,básico,"22,55"
ALBERTI,2,2016,lengua,102,por debajo del nivel básico,"22,55"
ALBERTI,2,2016,lengua,102,satisfactorio,"52,94"
ALMIRANTE BROWN,3,2016,lengua,5602,avanzado,"8,64"
ALMIRANTE BROWN,3,2016,lengua,5602,básico,"24,26"
ALMIRANTE BROWN,3,2016,lengua,5602,por debajo del nivel básico,"26,81"
ALMIRANTE BROWN,3,2016,lengua,5.602,satisfactorio,"40,29"
ARRECIFES,10,2016,lengua,273,avanzado,"16,48"
ARRECIFES,10,2016,lengua,273,básico,"27,11"
ARRECIFES,10,2016,lengua,273,por debajo del nivel básico,"10,99"
ARRECIFES,10,2016,lengua,273,satisfactorio,"45,42"
AVELLANEDA,4,2016,lengua,3771,avanzado,"8,70"
AVELLANEDA,4,2016,lengua,3771,básico,"21,29"
AVELLANEDA,4,2016,lengua,3771,por debajo del nivel básico,"23,73"
AVELLANEDA,4,2016,lengua,3.771,satisfactorio,"46,27"
AYACUCHO,5,2016,lengua,206,avanzado,"9,22"
AYACUCHO,5,2016,lengua,206,básico,"26,70"
AYACUCHO,5,2016,lengua,206,por debajo del nivel básico,"26,21"
AYACUCHO,5,2016,lengua,206,satisfactorio,"37,86"
AZUL,6,2016,lengua,690,avanzado,"13,48"
AZUL,6,2016,lengua,690,básico,"17,83"
AZUL,6,2016,lengua,690,por debajo del nivel básico,"19,57"
AZUL,6,2016,lengua,690,satisfactorio,"49,13"
BAHIA BLANCA,7,2016,lengua,2776,avanzado,"11,96"
BAHIA BLANCA,7,2016,lengua,2776,básico,"20,89"
BAHIA BLANCA,7,2016,lengua,2776,por debajo del nivel básico,"17,72"
BAHIA BLANCA,7,2016,lengua,2.776,satisfactorio,"49,42"
BALCARCE,8,2016,lengua,549,avanzado,"11,84"
BALCARCE,8,2016,lengua,549,básico,"18,76"
BALCARCE,8,2016,lengua,549,por debajo del nivel básico,"14,75"
BALCARCE,8,2016,lengua,549,satisfactorio,"54,64"
BARADERO,9,2016,lengua,464,avanzado,"12,07"
BARADERO,9,2016,lengua,464,básico,"24,14"
BARADERO,9,2016,lengua,464,por debajo del nivel básico,"21,98"
BARADERO,9,2016,lengua,464,satisfactorio,"41,81"
BENITO JUAREZ,53,2016,lengua,220,avanzado,"8,18"
BENITO JUAREZ,53,2016,lengua,220,básico,"28,64"
BENITO JUAREZ,53,2016,lengua,220,por debajo del nivel básico,"12,27"
BENITO JUAREZ,53,2016,lengua,220,satisfactorio,"50,91"
BERAZATEGUI,120,2016,lengua,4458,avanzado,"9,04"
BERAZATEGUI,120,2016,lengua,4458,básico,"22,95"
BERAZATEGUI,120,2016,lengua,4458,por debajo del nivel básico,"25,95"
BERAZATEGUI,120,2016,lengua,4.458,satisfactorio,"42,06"
BERISSO,114,2016,lengua,869,avanzado,"7,71"
BERISSO,114,2016,lengua,869,básico,"23,13"
BERISSO,114,2016,lengua,869,por debajo del nivel básico,"26,35"
BERISSO,114,2016,lengua,869,satisfactorio,"42,81"
BOLIVAR,11,2016,lengua,321,avanzado,"7,48"
BOLIVAR,11,2016,lengua,321,básico,"22,43"
BOLIVAR,11,2016,lengua,321,por debajo del nivel básico,"14,95"
BOLIVAR,11,2016,lengua,321,satisfactorio,"55,14"
BRAGADO,12,2016,lengua,451,avanzado,"13,08"
BRAGADO,12,2016,lengua,451,básico,"19,73"
BRAGADO,12,2016,lengua,451,por debajo del nivel básico,"10,64"
BRAGADO,12,2016,lengua,451,satisfactorio,"56,54"
BRANDSEN,13,2016,lengua,382,avanzado,"12,83"
BRANDSEN,13,2016,lengua,382,básico,"26,70"
BRANDSEN,13,2016,lengua,382,por debajo del nivel básico,"24,35"
BRANDSEN,13,2016,lengua,382,satisfactorio,"36,13"
CAMPANA,14,2016,lengua,1101,avanzado,"10,72"
CAMPANA,14,2016,lengua,1101,básico,"27,43"
CAMPANA,14,2016,lengua,1101,por debajo del nivel básico,"23,07"
CAMPANA,14,2016,lengua,1.101,satisfactorio,"38,78"
